Wilayah,Perokok 15-24,Perokok 25-34,Perokok 35-44,Perokok 45-54,Perokok 55-64,Perokok 65+,tahun
Bogor,17.25,25.2,23.68,17.93,9.78,6.16,2023
Sukabumi,15.23,20.49,21.94,20.04,13.23,9.08,2023
Cianjur,15.78,20.05,21.34,21.08,13.13,8.62,2023
Bandung,15.25,25.46,22.72,19.11,10.2,7.27,2023
Garut,15.81,20.23,21.54,19.04,12.62,10.76,2023
Tasikmalaya,10.63,17.24,22.52,22.66,15.04,11.9,2023
Ciamis,7.78,16.4,19.96,23.92,19.54,12.4,2023
Kuningan,8.84,20.95,22.78,19.88,15.68,11.88,2023
Cirebon,15.34,24.8,23.06,17.76,12.37,6.67,2023
Majalengka,8.83,20.93,22.63,22.83,13.61,11.16,2023
Sumedang,10.23,19.53,20.89,20.01,15.68,13.67,2023
Indramayu,11.31,22.91,23.23,19.63,14.66,8.26,2023
Subang,13.43,18.39,21.17,22.52,15.0,9.49,2023
Purwakarta,15.23,26.11,21.25,16.7,12.22,8.49,2023
Karawang,14.65,22.68,22.85,19.66,12.42,7.75,2023
Bekasi,14.05,25.54,27.13,19.91,8.67,4.7,2023
Bandung Barat,16.2,23.28,22.16,17.76,11.62,8.98,2023
Pangandaran,10.06,15.49,21.41,22.27,17.22,13.54,2023
Kota Bogor,17.67,25.68,23.11,20.03,9.62,3.9,2023
Kota Sukabumi,14.37,22.57,23.13,19.76,12.96,7.21,2023
Kota Bandung,14.22,26.13,23.24,20.1,11.32,4.99,2023
Kota Cirebon,11.33,25.81,23.57,20.23,13.82,5.24,2023
Kota Bekasi,14.68,26.82,24.37,23.12,8.27,2.73,2023
Kota Depok,13.44,23.13,28.21,18.79,10.95,5.49,2023
Kota Cimahi,13.21,25.64,24.61,19.29,11.61,5.64,2023
Kota Tasikmalaya,15.62,21.61,22.59,18.72,15.11,6.35,2023
Kota Banjar,10.8,16.19,21.65,19.39,19.47,12.51,2023