Wilayah,ROKOK DAN TEMBAKAU,Rokok kretek filter,Rokok kretek tanpa filter,Rokok putih,Tembakau,Rokok dan tembakau Lainnya,tahun
Bogor,18847.29,13900.18,3106.51,1737.41,14.41,88.79,2021
Sukabumi,25370.7,15920.33,8443.37,948.05,57.72,1.23,2021
Cianjur,21012.79,13470.87,6944.19,261.43,318.18,18.11,2021
Bandung,20476.08,14099.13,5597.49,654.52,78.99,45.95,2021
Garut,19376.91,8636.64,8462.29,1801.27,434.5,42.21,2021
Tasikmalaya,18136.05,10050.64,6175.77,1553.99,299.75,55.89,2021
Ciamis,19333.73,8358.13,8731.59,1875.97,308.57,59.47,2021
Kuningan,23256.33,16819.29,5972.88,361.4,48.66,54.11,2021
Cirebon,17994.6,15533,1893.48,545.11,23.01,-,2021
Majalengka,20394.35,13581.81,4582.49,2041.43,142.51,46.11,2021
Sumedang,20110.25,11799.46,6694.8,1172.35,350.68,92.96,2021
Indramayu,23268.07,18456.53,4110.35,668.83,20.07,12.28,2021
Subang,24557.11,19530.37,4571.31,400.67,53.07,1.69,2021
Purwakarta,27906.01,20830.37,4442.75,2602.77,26.76,3.35,2021
Karawang,20165.15,16062.85,3969.89,124.8,7.61,-,2021
Bekasi,19202.59,16007.21,1751.67,1390.8,20.6,32.3,2021
Bandung Barat,23510.47,15853.57,6497.39,988.36,159.72,11.44,2021
Pangandaran,24014.35,12111.86,6972.74,4481.48,377.03,71.23,2021
Kota Bogor,19883,15593.31,1243.33,3040.18,6.18,-,2021
Kota Sukabumi,19719.71,13488.6,2514.03,3686.6,20.78,9.71,2021
Kota Bandung,21210.87,16591.25,2213.55,2262.22,70.29,73.55,2021
Kota Cirebon,13826.39,13254.62,469.31,35.55,26.3,40.59,2021
Kota Bekasi,17729.78,13994.03,928.7,2765.91,3.08,38.06,2021
Kota Depok,17200.79,12451.5,1082.96,3494.38,35.1,136.85,2021
Kota Cimahi,20595.98,15011.84,3602.27,1846.29,9.94,125.64,2021
Kota Tasikmalaya,17016.36,12825.49,3111.98,1027,48.79,3.09,2021
Kota Banjar,17357.2,11628.42,3818.03,1759.96,142.97,7.83,2021